,level_0,index,Trend,p_value,slope,site_no
0,0,wl_elevmin,increasing,0.004762813070926741,14.073574480260579,394430077225001
1,1,wl_elev1%,increasing,0.002054718976131742,14.28708559854864,394430077225001
2,2,wl_elev2%,increasing,0.002054718976131742,13.964948187111426,394430077225001
3,3,wl_elev3%,increasing,0.0025502176384633035,13.920845736998572,394430077225001
4,4,wl_elev4%,increasing,0.0025502176384633035,13.699448286891798,394430077225001
5,5,wl_elev5%,increasing,0.0025502176384633035,13.41786225545982,394430077225001
6,6,wl_elev6%,increasing,0.0038826563480225396,13.120808630134814,394430077225001
7,7,wl_elev7.0%,increasing,0.003152836835519368,12.732731737740686,394430077225001
8,8,wl_elev8%,increasing,0.007083869672755538,12.14643590553184,394430077225001
9,9,wl_elev9%,increasing,0.010374262567202308,12.177909263873516,394430077225001
10,10,wl_elev10%,increasing,0.012482226584454192,12.042293733589943,394430077225001
11,11,wl_elev11%,increasing,0.010374262567202308,11.869506833010771,394430077225001
12,12,wl_elev12%,increasing,0.008589179245810152,11.709976089628562,394430077225001
13,13,wl_elev13%,increasing,0.008589179245810152,11.559336639439652,394430077225001
14,14,wl_elev14%,increasing,0.007083869672755538,11.780166956191637,394430077225001
15,15,wl_elev15%,increasing,0.008589179245810152,11.837198307765778,394430077225001
16,16,wl_elev16%,increasing,0.007083869672755538,12.198422557000756,394430077225001
17,17,wl_elev17%,increasing,0.005819816954009793,11.333315636313774,394430077225001
18,18,wl_elev18%,increasing,0.004762813070926741,11.692856472023584,394430077225001
19,19,wl_elev19%,increasing,0.004762813070926741,11.729536169669213,394430077225001
20,20,wl_elev20%,increasing,0.0038826563480225396,11.779407290465594,394430077225001
21,21,wl_elev21%,increasing,0.005819816954009793,11.741541363038573,394430077225001
22,22,wl_elev22%,increasing,0.005819816954009793,11.89594493944811,394430077225001
23,23,wl_elev23%,increasing,0.007083869672755538,11.935915042405323,394430077225001
24,24,wl_elev24%,increasing,0.007083869672755538,11.808066325263596,394430077225001
25,25,wl_elev25%,increasing,0.005819816954009793,11.894181699966467,394430077225001
26,26,wl_elev26%,increasing,0.005819816954009793,11.718966877921694,394430077225001
27,27,wl_elev27%,increasing,0.004762813070926741,11.520267138621216,394430077225001
28,28,wl_elev28%,increasing,0.004762813070926741,11.298525914694569,394430077225001
29,29,wl_elev29%,increasing,0.0038826563480225396,10.97755860717393,394430077225001
30,30,wl_elev30%,increasing,0.004762813070926741,11.362995048659492,394430077225001
31,31,wl_elev31%,increasing,0.0025502176384633035,11.36104939386313,394430077225001
32,32,wl_elev32%,increasing,0.0038826563480225396,11.328026035998002,394430077225001
33,33,wl_elev33%,increasing,0.004762813070926741,11.24924111539245,394430077225001
